question,answer,points
1,"5 августа",78
1,"в августе",16
1,осенью,2
1,"Не знаю",2
2,"в Маленькой Азии",54
2,"в ресторане",16
2,"в Томске",13
2,"в Ковчеге",5
2,"на озере",5
2,"в ЗАГСе",2
2,"не знаю",2
3,умный,29
3,хороший/красивый,18
3,спокойный/обстоятельный,16
3,замечательный/неповторимый,8
3,скромный,5
3,доброжелательный,2
3,любимый,2
3,доостойный,2
3,мужественный,2
3,талантливый,2
3,надёжный,2
3,импозантный,2
3,утонченный,2
4,программист,35
4,айтишник,16
4,"безопасник IT",16
4,преподаватель,13
4,ресёчер,5
4,дипломат,2
4,начальник,2
4,"тайный агент",2
4,учёный,2
4,"важный человек",2
5,красавица,27
5,активная/энергичная,16
5,весёлая/жизнерадостная,10
5,"нет ответа",5
5,умная,5
5,чувственная/сексуальная,5
5,ленивая,2
5,"внимательная к деталям",2
5,лучшая,2
5,ответственная,2
5,утонченная,2
5,загадочная,2
5,любимая,2
5,отзывчивая,2
5,нежная,2
5,творческая,2
5,чудесная,2
6,розовая,29
6,розово-голубая,24
6,голубая,18
6,сиреневая,8
6,белоснежная,2
6,золотисто-красная,2
6,лиловая,2
6,зеленая,2
6,"нежные тона",2
6,золотая,2
6,радуга,2
7,"на горе в Шерегеше",64
7,"в ресторане",8
7,дома,5
7,"в постеле",2
7,"в Томске",2
7,"на паре",2
7,"в Прокопьевске",2
7,"в трамвае",2
7,"на улице",2
7,"в небесах",2
7,"в судьбоносном месте",2
8,деньги,37
8,путешествие,13
8,"дорогой подарок",10
8,присутствие,10
8,любви,5
8,детей,2
8,"от родителей",2
8,согласие,2
8,пожелания,2
8,"хрустящие чипсы",2
8,"букет в вакууме",2
8,"чтобы всё удачно прошло",2
8,"набор горнолыжной одежды",2
9,"на путешествие",56
9,"на ремонт",13
9,"на отдых",13
9,"на себя",8
9,"на автомобиль",2
9,"на долги",2
9,молодость,2
10,"на море",13
10,Европа,13
10,Италия,8
10,Азия,8
10,"на острова",8
10,"за границу",8
10,Мальдивы,5
10,Шерегеш,5
10,"в Доминикану",2
10,Испания,2
10,"на край света",2
10,Гималаи,2
10,"на Аляску",2
10,Кемер,2
10,"на Гаити",2
10,Альпы,2
10,Куба,2
10,"на Кипр",2
10,Черногория,2
11,Италия,40
11,Индия,8
11,Черногория,5
11,Венеция,2
11,Доминикана,2
11,Тайланд,2
11,Чехия,2
11,Австрия,2
11,Вьетнам,2
11,Зимбабве,2
11,Кипр,2
11,Филиппины,2
11,Ватикан,2
11,Гаити,2
11,"Куалу Лумпур",2
11,Франция,2
11,Венгрия,2
11,"Дикий запад",2
11,Испания,2
11,"Новая Зеландия",2
12,трое,43
12,двое,37
12,четверо,8
12,много,5
12,один,5
13,мальчик,51
13,девочка,48
14,"в университете",72
14,"у друзей/общих знакомых",10
14,"в Томске",5
14,"в интернете",2
14,"на уроке информатики",2
14,"на шествие",2
14,"на работе",2
15,"в университете",32
15,"в парке/на природе",13
15,дома,10
15,"в машине",8
15,"в Томске",5
15,"на Лагерном саду",5
15,"на набережной",5
15,"на улице",2
15,"в модном месте",2
15,"в Шерегеше",2
15,"на работе",2
15,"в кино",2
15,"в ресторане",2
15,"на свидании",2
16,"кататься на лыжах",24
16,"быть вместе",16
16,"смотреть видео/ТВ",16
16,гулять,13
16,целоваться/секс,10
16,"ходить по магазинам",5
16,путешествовать,5
16,"лежать на диване",2
16,читать,2
16,"ездить и людям надоедать",2
17,"кататься на лыжах",72
17,обниматься/секс,8
17,"валяться и смотреть телевизор",2
17,"впадать в спячку",2
17,лечиться,2
17,греться,2
17,"валяться в снегу",2
17,гулять,2
17,"пить глинтвейн",2
18,обнимаются/целуются/секс,29
18,отдыхают,18
18,"смотрят видео",13
18,спят,10
18,"готовят кушать",5
18,играют,5
18,общаются,2
18,мечтают,2
18,работают,2
18,танцуют,2
18,"решают математиеские задачки",2
18,читают,2
19,"жареная картошка",16
19,сладкое,13
19,мясо,13
19,паста,8
19,суши,8
19,морепродукты,5
19,каша,5
19,шашлык,5
19,салаты,5
19,"бабушкины пирожки",2
19,кус-кус,2
19,пельмени,2
19,пицца,2
19,курица,2
19,овощи,2
19,яйца,2
20,фэнтези/фантастика,21
20,комедия,16
20,мелодрамма,13
20,детективы/интеллектуальное,8
20,триллер,8
20,приключенческие,8
20,исторические,5
20,ужасы,5
20,"историческое фэнтези",5
20,разные,5
20,"познавательное кино",2
21,красота/обаяние,21
21,ум,13
21,весёлость/жизнерадостность,8
21,открытость,8
21,активность/энергичность,8
21,доброта,8
21,верность,5
21,искренность,5
21,внимательность,5
21,изобретательность,2
21,непредсказуемость,2
21,целеустремлённость,2
21,"нет ответа",2
21,любовь,2
21,рассудительность,2
22,надёжность/преданность,24
22,ум/интеллект,18
22,доброта,16
22,понимание,8
22,любовь/нежность,8
22,сила/мужественность,8
22,работоспособность,5
22,внимательность,2
22,воспитанность,2
22,"не указано",2
22,уверенность,2
23,искренность/доверие,40
23,взаимоуважение/взаимопонимание,27
23,любовь,18
23,общение,10
23,компромисс,2
24,счастья,32
24,взаимопонимания,24
24,любви,21
24,бессмертия,8
24,здоровья,5
24,терпения,2
24,удачи,2
24,"беречь друг друга и ценить",2
